XData,YData1,YData2,YData3,YData4
0.4211,-0.302470090538171,-0.339795596693628,0.422016,0.490657
0.4221,-0.299701182828913,-0.336593080772082,0.422351,0.491363
0.4231,-0.296897438111008,-0.333354246069764,0.422654,0.49203
0.4241,-0.294058959465547,-0.330079212897376,0.422925,0.492658
0.4251,-0.291185860386262,-0.326768112045072,0.423166,0.493249
0.4261,-0.288278264810061,-0.32342108481229,0.423379,0.493805
0.4271,-0.285336307143068,-0.320038283033085,0.423564,0.494325
0.4281,-0.282360132282108,-0.316619869096893,0.423723,0.494814
0.4291,-0.279349895631597,-0.313166015964702,0.423858,0.49527
0.4301,-0.276305763115779,-0.30967690718056,0.42397,0.495696
0.4311,-0.273227911186279,-0.306152736878395,0.42406,0.496094
0.4321,-0.270116526824928,-0.302593709784102,0.424129,0.496463
0.4331,-0.266971807541816,-0.299000041212854,0.424179,0.496806
0.4341,-0.263793961368554,-0.295371957061609,0.424211,0.497124
0.4351,-0.260583206846694,-0.291709693796778,0.424226,0.497418
0.4361,-0.257339773011297,-0.288013498437028,0.424225,0.497689
0.4371,-0.254063899369603,-0.284283628531194,0.424211,0.497938
0.4381,-0.250755835874798,-0.280520352131269,0.424183,0.498167
0.4391,-0.247415842894854,-0.276723947760465,0.424143,0.498376
0.4401,-0.244044191176414,-0.27289470437632,0.424092,0.498567
0.4411,-0.24064116180372,-0.269032921328839,0.424031,0.498741
0.4421,-0.237207046152575,-0.265138908313663,0.423962,0.498898
0.4431,-0.233742145839322,-0.261212985320246,0.423884,0.499041
0.4441,-0.23024677266484,-0.257255482575056,0.423801,0.499169
0.4451,-0.226721248553561,-0.253266740479783,0.423711,0.499284
0.4461,-0.22316590548751,-0.249247109544558,0.423616,0.499387
0.4471,-0.219581085435358,-0.245196950316205,0.423518,0.499478
0.4481,-0.215967140276527,-0.24111663330151,0.423417,0.499559
0.4491,-0.212324431720332,-0.237006538885542,0.423313,0.49963
0.4501,-0.208653331220187,-0.232867057245029,0.423208,0.499692
0.4511,-0.2049542198829,-0.228698588256817,0.423103,0.499746
0.4521,-0.201227488373072,-0.224501541401424,0.422998,0.499793
0.4531,-0.197473536812621,-0.220276335661728,0.422894,0.499833
0.4541,-0.193692774675483,-0.216023399416812,0.422791,0.499866
0.4551,-0.189885620677492,-0.211743170330992,0.422691,0.499895
0.4561,-0.1860525026615,-0.207436095238083,0.422593,0.499918
0.4571,-0.18219385747777,-0.203102630020925,0.422499,0.499938
0.4581,-0.178310130859677,-0.198743239486224,0.422409,0.499954
0.4591,-0.174401777294775,-0.194358397234743,0.422324,0.499966
0.4601,-0.170469259891271,-0.189948585526909,0.422243,0.499976
0.4611,-0.166513050239969,-0.185514295143877,0.422168,0.499983
0.4621,-0.162533628271732,-0.181056025244106,0.422099,0.499989
0.4631,-0.158531482110522,-0.176574283215521,0.422035,0.499993
